MSOA21CD,MSOA21NM,nca_name,overlap_percentage,overlap_type,total_employment,agri_soc_121,agri_soc_511,agri_soc_911,total_agri_employment,agri_percentage_121,agri_percentage_511,agri_percentage_911,total_agri_percentage,skill_matched_employment,skill_matched_percentage,C2021_OCC_105_NAME_top_1,C2021_OCC_105_NAME_top_2,C2021_OCC_105_NAME_top_3,C2021_OCC_105_NAME_top_4,C2021_OCC_105_NAME_top_5,OBS_VALUE_top_1,OBS_VALUE_top_2,OBS_VALUE_top_3,OBS_VALUE_top_4,OBS_VALUE_top_5,shannon_diversity,simpson_diversity,effective_occupations,top_1_concentration,top_3_concentration,top_5_concentration,hhi,occupations_over_1pct,occupations_over_2pct,occupations_over_5pct,dominance_ratio,concentration_category
E02005492,West Lindsey 001,Central Lincolnshire Vale,30.364538331613243,Partially Within,4358,55,142,61,258,1.2620468104635154,3.258375401560349,1.3997246443322624,5.920146856356126,295,6.769160165213401,613 Caring Personal Services,821 Road Transport Drivers,231 Teaching and other Educational Professionals,112 Production Managers and Directors,511 Agricultural and Related Trades,210,196,175,166,142,4.220238442974069,0.980356635505043,50.90777602058594,4.8187241854061496,13.33180357962368,20.399265718219368,196.43364494956975,33,12,0,1.0714285714285714,Diverse
E02005436,East Lindsey 013,Central Lincolnshire Vale,10.585136772091094,Partially Within,3220,26,103,44,173,0.8074534161490683,3.198757763975155,1.3664596273291925,5.372670807453416,227,7.04968944099379,613 Caring Personal Services,711 Sales Assistants and Retail Cashiers,821 Road Transport Drivers,531 Construction and Building Trades,231 Teaching and other Educational Professionals,241,172,132,131,117,4.070417364666996,0.9753481732957834,40.564945226917054,7.48447204968944,16.925465838509314,24.627329192546583,246.5182670421666,31,16,2,1.4011627906976742,Diverse
E02005434,East Lindsey 011,Central Lincolnshire Vale,79.47337871970757,Partially Within,3263,18,93,49,160,0.5516395954642966,2.850137909898866,1.5016855654305854,4.903463070793748,208,6.374501992031872,613 Caring Personal Services,711 Sales Assistants and Retail Cashiers,231 Teaching and other Educational Professionals,531 Construction and Building Trades,821 Road Transport Drivers,187,173,129,107,103,4.170900148382342,0.9787799930667016,47.125338042694075,5.730922463990193,14.986209010113393,21.422004290530186,212.20006933298419,32,13,2,1.0809248554913296,Diverse
E02002770,North Lincolnshire 022,Central Lincolnshire Vale,43.05677865214355,Partially Within,3253,30,59,33,122,0.9222256378727329,1.8137104211497077,1.014448201660006,3.7503842606824467,228,7.00891484783277,613 Caring Personal Services,711 Sales Assistants and Retail Cashiers,821 Road Transport Drivers,112 Production Managers and Directors,113 Functional Managers and Directors,165,163,134,113,94,4.199233937926476,0.9800638045195388,50.16002180456474,5.072241008300031,14.202274823240085,20.565631724561943,199.36195480461222,35,13,2,1.012269938650307,Diverse
E02005499,West Lindsey 008,Central Lincolnshire Vale,65.20084781339904,Partially Within,3968,27,93,27,147,0.6804435483870968,2.34375,0.6804435483870968,3.704637096774194,180,4.536290322580645,231 Teaching and other Educational Professionals,613 Caring Personal Services,711 Sales Assistants and Retail Cashiers,223 Nursing and Midwifery Professionals,112 Production Managers and Directors,236,197,163,130,119,4.185985363006072,0.9792292472847295,48.14462016414095,5.947580645161291,15.020161290322582,21.295362903225808,207.70752715270552,35,14,1,1.1979695431472082,Diverse
E02002759,North Lincolnshire 011,Central Lincolnshire Vale,76.46085592903347,Partially Within,4212,36,63,29,128,0.8547008547008548,1.4957264957264957,0.6885090218423552,3.038936372269706,306,7.264957264957266,613 Caring Personal Services,711 Sales Assistants and Retail Cashiers,821 Road Transport Drivers,231 Teaching and other Educational Professionals,112 Production Managers and Directors,219,218,181,158,142,4.209717460366412,0.9799479666921895,49.87025428540909,5.1994301994302,14.672364672364674,21.794871794871796,200.5203330781045,37,13,2,1.0045871559633026,Diverse
E02005439,East Lindsey 016,Central Lincolnshire Vale,94.41687253919369,Partially Within,5296,24,90,42,156,0.4531722054380665,1.6993957703927494,0.7930513595166163,2.9456193353474323,261,4.9282477341389725,613 Caring Personal Services,331 Protective Service Occupations,"311 Science, Engineering and Production Technicians",711 Sales Assistants and Retail Cashiers,523 Vehicle Trades,314,297,233,213,180,4.104088329502491,0.9770702793421017,43.611521261840636,5.929003021148036,15.93655589123867,23.35725075528701,229.2972065789834,33,14,2,1.0572390572390573,Diverse
E02005502,West Lindsey 011,Central Lincolnshire Vale,93.58749123157966,Partially Within,4438,35,71,20,126,0.7886435331230284,1.5998197386210005,0.45065344749887337,2.8391167192429023,245,5.520504731861198,613 Caring Personal Services,711 Sales Assistants and Retail Cashiers,231 Teaching and other Educational Professionals,531 Construction and Building Trades,821 Road Transport Drivers,268,206,165,150,144,4.210163250724172,0.9797768503852894,49.448281748980705,6.038756196484903,14.398377647589003,21.02298332582244,202.23149614710593,34,11,1,1.3009708737864079,Diverse
E02005501,West Lindsey 010,Central Lincolnshire Vale,22.791758148509995,Partially Within,3704,25,47,22,94,0.6749460043196545,1.2688984881209504,0.593952483801296,2.537796976241901,130,3.509719222462203,231 Teaching and other Educational Professionals,711 Sales Assistants and Retail Cashiers,613 Caring Personal Services,223 Nursing and Midwifery Professionals,112 Production Managers and Directors,192,160,137,136,130,4.189149375241268,0.979685874590076,49.22683009092148,5.183585313174946,13.201943844492442,20.38336933045356,203.14125409924011,33,14,1,1.2,Diverse
E02002761,North Lincolnshire 013,Central Lincolnshire Vale,13.339515368111762,Partially Within,3026,15,34,16,65,0.495703899537343,1.1235955056179776,0.5287508261731658,2.1480502313284866,254,8.39391936549901,711 Sales Assistants and Retail Cashiers,613 Caring Personal Services,821 Road Transport Drivers,231 Teaching and other Educational Professionals,531 Construction and Building Trades,170,166,146,97,92,4.174900377412125,0.9789377717416232,47.47835735766878,5.617977528089887,15.928618638466624,22.174487772637143,210.6222825837673,36,12,2,1.0240963855421688,Diverse
E02004098,High Peak 006,Dark Peak,95.6864545237508,Fully Within,3527,4,62,7,73,0.11341083073433512,1.7578678763821944,0.1984689537850865,2.069747660901616,295,8.364048766657216,613 Caring Personal Services,711 Sales Assistants and Retail Cashiers,231 Teaching and other Educational Professionals,811 Process Operatives,531 Construction and Building Trades,236,142,122,119,115,4.2016417277693465,0.9795578344190617,48.91849623468806,6.691239013325773,14.176353841791892,20.8108874397505,204.421655809383,30,13,1,1.6619718309859155,Diverse
E02004093,High Peak 001,Dark Peak,95.99750002821975,Fully Within,3257,3,33,4,40,0.092109303039607,1.013202333435677,0.12281240405280934,1.2281240405280933,213,6.539760515812097,613 Caring Personal Services,711 Sales Assistants and Retail Cashiers,231 Teaching and other Educational Professionals,531 Construction and Building Trades,223 Nursing and Midwifery Professionals,152,151,144,103,102,4.21071775170225,0.9804636083411756,51.18652499722548,4.666871354006755,13.724286152901444,20.018421860607923,195.36391658824348,34,15,0,1.0066225165562914,Diverse
E02001117,Oldham 020,Dark Peak,98.43706815695079,Fully Within,2795,4,20,4,28,0.14311270125223613,0.7155635062611807,0.14311270125223613,1.001788908765653,112,4.007155635062612,231 Teaching and other Educational Professionals,113 Functional Managers and Directors,112 Production Managers and Directors,"355 Sales, Marketing and Related Associate Professionals",711 Sales Assistants and Retail Cashiers,155,134,98,94,84,4.196174337083553,0.9799937916225306,49.984483872825344,5.545617173524151,13.846153846153847,20.214669051878353,200.0620837746935,37,12,1,1.1567164179104479,Diverse
E02001237,Tameside 009,Dark Peak,96.62126943864375,Fully Within,3508,3,22,2,27,0.08551881413911061,0.6271379703534777,0.05701254275940707,0.7696693272519954,230,6.556442417331813,613 Caring Personal Services,711 Sales Assistants and Retail Cashiers,821 Road Transport Drivers,531 Construction and Building Trades,231 Teaching and other Educational Professionals,211,161,127,123,103,4.197440476030332,0.9797119533914337,49.29010758373187,6.014823261117446,14.224629418472063,20.667046750285063,202.88046608566313,33,16,1,1.3105590062111803,Diverse
E02007029,Derbyshire Dales 011,Dark Peak,23.563736511151703,Partially Within,5056,43,294,36,373,0.8504746835443038,5.814873417721519,0.7120253164556962,7.377373417721519,232,4.588607594936709,511 Agricultural and Related Trades,711 Sales Assistants and Retail Cashiers,926 Other Elementary Services Occupations,613 Caring Personal Services,531 Construction and Building Trades,294,221,213,203,199,4.158384040515637,0.9782856845106954,46.052568430837745,5.814873417721519,14.39873417721519,22.349683544303797,217.143154893046,29,12,1,1.330316742081448,Diverse
E02001535,Barnsley 027,Dark Peak,27.84978740643072,Partially Within,3128,22,126,20,168,0.7033248081841432,4.028132992327365,0.639386189258312,5.3708439897698215,144,4.603580562659847,112 Production Managers and Directors,113 Functional Managers and Directors,511 Agricultural and Related Trades,231 Teaching and other Educational Professionals,711 Sales Assistants and Retail Cashiers,170,131,126,120,112,4.183403488723127,0.9791569913854566,47.97771849992155,5.434782608695652,13.650895140664963,21.067774936061383,208.43008614543336,31,13,1,1.297709923664122,Diverse
E02004068,Derbyshire Dales 001,Dark Peak,55.99720785884899,Partially Within,3427,19,131,12,162,0.5544207761890867,3.8225853516194923,0.3501604902246863,4.727166618033266,155,4.522906332068865,231 Teaching and other Educational Professionals,113 Functional Managers and Directors,613 Caring Personal Services,511 Agricultural and Related Trades,112 Production Managers and Directors,189,141,134,131,129,4.193798879941759,0.9794413967796712,48.64143683706983,5.515027721038809,13.539538955354539,21.126349576889407,205.58603220328723,31,12,1,1.3404255319148934,Diverse
E02004069,Derbyshire Dales 002,Dark Peak,54.945936905645645,Partially Within,2842,19,96,12,127,0.6685432793807178,3.377902885292048,0.422237860661506,4.468684025334271,99,3.4834623504574247,113 Functional Managers and Directors,231 Teaching and other Educational Professionals,125 Managers and Proprietors in Other Services,112 Production Managers and Directors,511 Agricultural and Related Trades,151,147,110,105,96,4.14193256221476,0.9783158622472503,46.116659624761624,5.313159746657284,14.356087262491204,21.42857142857143,216.84137752749672,31,14,2,1.0272108843537415,Diverse
E02004073,Derbyshire Dales 006,Dark Peak,20.79716712638131,Partially Within,3926,15,113,18,146,0.38206826286296486,2.8782475802343352,0.45848191543555783,3.718797758532858,200,5.094243504839532,613 Caring Personal Services,531 Construction and Building Trades,711 Sales Assistants and Retail Cashiers,231 Teaching and other Educational Professionals,113 Functional Managers and Directors,186,184,164,161,139,4.188339312904061,0.9791678398824509,48.00270324139821,4.737646459500764,13.601630157921548,21.242995415180847,208.32160117549088,30,15,0,1.0108695652173911,Diverse
E02006872,High Peak 013,Dark Peak,75.4778377974647,Partially Within,6269,19,173,30,222,0.30307864093156806,2.759610783219014,0.47854522252352844,3.541234646674111,392,6.252990907640772,613 Caring Personal Services,711 Sales Assistants and Retail Cashiers,821 Road Transport Drivers,531 Construction and Building Trades,231 Teaching and other Educational Professionals,330,273,212,203,197,4.233963235737398,0.9807882426321732,52.05145895058335,5.263997447758814,13.000478545222524,19.381081512202904,192.11757367826723,33,14,1,1.208791208791209,Diverse
E02004114,North East Derbyshire 010,Dark Peak,10.602557132261635,Partially Within,4006,20,98,8,126,0.4992511233150275,2.4463305042436345,0.199700449326011,3.1452820768846728,171,4.268597104343485,231 Teaching and other Educational Professionals,711 Sales Assistants and Retail Cashiers,112 Production Managers and Directors,613 Caring Personal Services,113 Functional Managers and Directors,184,170,156,155,150,4.1824495971991444,0.979697951824136,49.25611403034916,4.593110334498253,12.730903644533202,20.34448327508737,203.02048175864013,31,14,0,1.0823529411764707,Diverse
E02004097,High Peak 005,Dark Peak,81.90107033279175,Partially Within,3931,16,88,9,113,0.4070211142203002,2.238616128211651,0.22894937674891885,2.87458661918087,248,6.308827270414653,231 Teaching and other Educational Professionals,613 Caring Personal Services,711 Sales Assistants and Retail Cashiers,112 Production Managers and Directors,113 Functional Managers and Directors,187,159,154,115,112,4.245161063867783,0.9815891153690917,54.3156953100011,4.757059272449758,12.719409819384381,18.49402187738489,184.10884630908353,37,13,0,1.1761006289308176,Diverse
E02004109,North East Derbyshire 005,Dark Peak,35.71640151105427,Partially Within,2878,16,56,7,79,0.5559416261292565,1.9457956914523975,0.2432244614315497,2.7449617790132037,90,3.127171646977067,231 Teaching and other Educational Professionals,113 Functional Managers and Directors,112 Production Managers and Directors,125 Managers and Proprietors in Other Services,711 Sales Assistants and Retail Cashiers,148,136,126,110,109,4.1210750727538406,0.978195517406739,45.862129299461806,5.142460041695622,14.246004169562196,21.85545517720639,218.04482593260997,33,16,1,1.088235294117647,Diverse
E02004072,Derbyshire Dales 005,Dark Peak,78.22875089788523,Partially Within,4264,10,98,9,117,0.23452157598499063,2.298311444652908,0.21106941838649157,2.7439024390243905,156,3.6585365853658534,231 Teaching and other Educational Professionals,415 Other Administrative Occupations,613 Caring Personal Services,113 Functional Managers and Directors,711 Sales Assistants and Retail Cashiers,190,176,154,147,142,4.215906177998676,0.9806614300448099,51.710131737616884,4.455909943714822,12.195121951219512,18.97279549718574,193.385699551901,33,19,0,1.0795454545454546,Diverse
E02004100,High Peak 008,Dark Peak,30.79685274256294,Partially Within,4035,6,80,12,98,0.14869888475836432,1.982651796778191,0.29739776951672864,2.4287484510532837,202,5.006195786864931,231 Teaching and other Educational Professionals,613 Caring Personal Services,113 Functional Managers and Directors,531 Construction and Building Trades,711 Sales Assistants and Retail Cashiers,189,185,176,146,142,4.223532054811904,0.9804203307797785,51.0733858040473,4.684014869888476,13.630731102850064,20.76827757125155,195.7966922022145,31,15,0,1.0216216216216216,Diverse
E02001618,Sheffield 008,Dark Peak,84.79059365623966,Partially Within,4863,17,64,13,94,0.3495784495167592,1.3160600452395639,0.26732469668928643,1.9329631914456098,165,3.3929673041332507,231 Teaching and other Educational Professionals,113 Functional Managers and Directors,613 Caring Personal Services,223 Nursing and Midwifery Professionals,711 Sales Assistants and Retail Cashiers,241,208,172,159,159,4.182935164760353,0.9800832339306964,50.20895443167512,4.955788607855234,12.769895126465144,19.30906847624923,199.16766069303648,37,13,0,1.158653846153846,Diverse
E02001633,Sheffield 023,Dark Peak,39.77291431912246,Partially Within,3586,3,52,7,62,0.08365867261572783,1.4500836586726158,0.19520356943669828,1.7289459007250418,131,3.6530953708867817,231 Teaching and other Educational Professionals,113 Functional Managers and Directors,223 Nursing and Midwifery Professionals,613 Caring Personal Services,711 Sales Assistants and Retail Cashiers,180,147,140,139,131,4.16336622293529,0.9793018272397864,48.31344349015276,5.01952035694367,13.0228667038483,20.552147239263803,206.98172760213623,38,13,1,1.2244897959183674,Diverse
E02004096,High Peak 004,Dark Peak,84.63819718482756,Partially Within,4820,7,65,2,74,0.14522821576763487,1.3485477178423237,0.04149377593360996,1.5352697095435683,181,3.7551867219917012,231 Teaching and other Educational Professionals,113 Functional Managers and Directors,711 Sales Assistants and Retail Cashiers,112 Production Managers and Directors,613 Caring Personal Services,248,240,202,181,155,4.178171871429325,0.9791220020316455,47.897312832184994,5.145228215767634,14.315352697095435,21.286307053941908,208.77997968354538,30,14,1,1.0333333333333334,Diverse
E02001251,Tameside 023,Dark Peak,23.9371636590814,Partially Within,2916,7,29,8,44,0.24005486968449932,0.9945130315500686,0.2743484224965706,1.5089163237311385,175,6.001371742112483,711 Sales Assistants and Retail Cashiers,613 Caring Personal Services,231 Teaching and other Educational Professionals,"355 Sales, Marketing and Related Associate Professionals",113 Functional Managers and Directors,152,127,126,102,97,4.192859688263548,0.9796767185821191,49.20465250853538,5.212620027434842,13.88888888888889,20.713305898491083,203.23281417880818,34,13,1,1.1968503937007875,Diverse
E02002322,Kirklees 052,Dark Peak,37.78214208437027,Partially Within,3043,6,34,4,44,0.1971738416036806,1.1173184357541899,0.13144922773578707,1.4459415050936575,153,5.027932960893855,231 Teaching and other Educational Professionals,531 Construction and Building Trades,112 Production Managers and Directors,113 Functional Managers and Directors,613 Caring Personal Services,148,119,115,114,114,4.216214277351219,0.9806648034973356,51.71915371339525,4.863621426224121,12.553401248767665,20.046007229707524,193.35196502664354,36,13,0,1.2436974789915967,Diverse
E02001651,Sheffield 041,Dark Peak,77.91938546172233,Partially Within,3530,6,42,0,48,0.16997167138810199,1.189801699716714,0,1.3597733711048159,71,2.0113314447592066,231 Teaching and other Educational Professionals,221 Medical Practitioners,113 Functional Managers and Directors,223 Nursing and Midwifery Professionals,213 Information Technology Professionals,393,316,176,114,113,3.8896124494052517,0.9649453891773467,28.526917758669637,11.13314447592068,25.07082152974504,31.501416430594904,350.54610822653257,29,15,2,1.2436708860759493,Highly Concentrated (10%+ in 1 occupation)
E02002328,Kirklees 058,Dark Peak,75.091612456256,Partially Within,3345,12,28,5,45,0.35874439461883406,0.837070254110613,0.14947683109118087,1.345291479820628,152,4.5440956651718984,231 Teaching and other Educational Professionals,113 Functional Managers and Directors,112 Production Managers and Directors,"355 Sales, Marketing and Related Associate Professionals",531 Construction and Building Trades,210,182,134,124,117,4.163648256228821,0.9783351096275145,46.157630286004235,6.278026905829597,15.724962630792227,22.929745889387142,216.6489037248554,35,13,2,1.153846153846154,Diverse
E02001203,Stockport 017,Dark Peak,65.47182272746662,Partially Within,2672,2,27,4,33,0.07485029940119761,1.0104790419161676,0.14970059880239522,1.2350299401197604,55,2.058383233532934,113 Functional Managers and Directors,231 Teaching and other Educational Professionals,112 Production Managers and Directors,125 Managers and Proprietors in Other Services,"355 Sales, Marketing and Related Associate Professionals",200,189,108,108,96,4.046114113511995,0.9741617999031876,38.702386244131965,7.48502994011976,18.600299401197603,26.23502994011976,258.38200096812363,35,16,2,1.0582010582010581,Diverse
E02001103,Oldham 006,Dark Peak,33.880624171791936,Partially Within,2600,3,19,9,31,0.11538461538461539,0.7307692307692307,0.34615384615384615,1.1923076923076923,102,3.923076923076923,112 Production Managers and Directors,231 Teaching and other Educational Professionals,113 Functional Managers and Directors,125 Managers and Proprietors in Other Services,223 Nursing and Midwifery Professionals,136,135,131,79,77,4.167251615612065,0.9791005917159763,47.84824462061155,5.230769230769231,15.46153846153846,21.461538461538463,208.99408284023667,35,12,3,1.0074074074074073,Diverse
E02001612,Sheffield 002,Dark Peak,25.351989976600255,Partially Within,2666,3,24,3,30,0.11252813203300824,0.9002250562640659,0.11252813203300824,1.1252813203300824,142,5.326331582895724,613 Caring Personal Services,711 Sales Assistants and Retail Cashiers,531 Construction and Building Trades,231 Teaching and other Educational Professionals,223 Nursing and Midwifery Professionals,182,130,103,88,85,4.137481514031404,0.9780872637514217,45.635560463832135,6.826706676669167,15.566391597899475,22.05551387846962,219.12736248578275,35,15,1,1.4,Diverse
E02002325,Kirklees 055,Dark Peak,55.56054536785957,Partially Within,4232,5,32,6,43,0.11814744801512288,0.7561436672967864,0.14177693761814747,1.0160680529300568,224,5.293005671077505,231 Teaching and other Educational Professionals,613 Caring Personal Services,113 Functional Managers and Directors,711 Sales Assistants and Retail Cashiers,112 Production Managers and Directors,194,175,173,158,152,4.190264163600086,0.9799622821530798,49.90588287746049,4.584120982986768,12.80718336483932,20.13232514177694,200.37717846920214,36,14,0,1.1085714285714285,Diverse
E02002319,Kirklees 049,Dark Peak,11.426341613065215,Partially Within,3588,0,26,4,30,0,0.7246376811594203,0.11148272017837235,0.8361204013377926,224,6.243032329988852,231 Teaching and other Educational Professionals,613 Caring Personal Services,531 Construction and Building Trades,711 Sales Assistants and Retail Cashiers,113 Functional Managers and Directors,153,143,131,122,121,4.220176919149702,0.9811521807486617,53.056535966568035,4.264214046822742,11.900780379041247,18.67335562987737,188.47819251338225,33,12,0,1.06993006993007,Diverse
E02001678,Sheffield 068,Dark Peak,31.627169890258987,Partially Within,4518,6,30,0,36,0.13280212483399734,0.6640106241699867,0,0.796812749003984,101,2.235502434705622,113 Functional Managers and Directors,231 Teaching and other Educational Professionals,221 Medical Practitioners,125 Managers and Proprietors in Other Services,112 Production Managers and Directors,338,314,220,201,180,3.9947672607170692,0.9726170327298351,36.519051793541465,7.481186365648516,19.30057547587428,27.73351040283311,273.82967270164824,33,14,2,1.0764331210191083,Diverse
E02001229,Tameside 001,Dark Peak,13.398913388417078,Partially Within,5238,2,38,1,41,0.038182512409316534,0.7254677357770141,0.019091256204658267,0.7827415043909889,286,5.460099274532264,231 Teaching and other Educational Professionals,613 Caring Personal Services,711 Sales Assistants and Retail Cashiers,113 Functional Managers and Directors,"355 Sales, Marketing and Related Associate Professionals",251,235,179,170,170,4.221204712653999,0.9809979675356797,52.625949454495235,4.791905307369225,12.695685376097748,19.18671248568156,190.02032464320345,34,13,0,1.0680851063829786,Diverse
E02001231,Tameside 003,Dark Peak,77.73896169348976,Partially Within,3333,3,22,0,25,0.09000900090009001,0.6600660066006601,0,0.7500750075007501,203,6.0906090609060906,613 Caring Personal Services,711 Sales Assistants and Retail Cashiers,231 Teaching and other Educational Professionals,821 Road Transport Drivers,531 Construction and Building Trades,183,156,122,111,101,4.167337532281529,0.9795575417127671,48.91779579291303,5.4905490549054905,13.831383138313832,20.192019201920193,204.42458287232867,34,15,1,1.1730769230769231,Diverse
E02001243,Tameside 015,Dark Peak,23.478742005608293,Partially Within,3933,3,15,4,22,0.07627765064836003,0.38138825324180015,0.10170353419781336,0.5593694380879736,184,4.678362573099415,711 Sales Assistants and Retail Cashiers,613 Caring Personal Services,113 Functional Managers and Directors,112 Production Managers and Directors,"355 Sales, Marketing and Related Associate Professionals",170,160,144,141,136,4.180171690526458,0.9802639417463463,50.668678980762365,4.322400203407068,12.051868802440884,19.094838545639462,197.36058253653607,36,16,0,1.0624999999999998,Diverse
E02002911,Herefordshire 007,Herefordshire Lowlands,100.00000000000169,Fully Within,4416,46,164,65,275,1.0416666666666665,3.713768115942029,1.4719202898550725,6.227355072463768,211,4.778079710144927,613 Caring Personal Services,531 Construction and Building Trades,711 Sales Assistants and Retail Cashiers,511 Agricultural and Related Trades,112 Production Managers and Directors,214,191,184,164,145,4.204896989778135,0.9800911294239656,50.228866382996266,4.846014492753623,13.33786231884058,20.33514492753623,199.08870576034445,33,14,0,1.1204188481675392,Diverse
